BPE: gnaro | Linguist: gnaro
BPE: e | Linguist: e
BPE: kotu | Linguist: kotu
BPE: ka | Linguist: ka
BPE: ḡlose | Linguist: ḡlose
BPE: neke | Linguist: neke
BPE: eni | Linguist: eni
BPE: kaisei | Linguist: kaisei
BPE: u | Linguist: u
BPE: dictionary | Linguist: dictionary
BPE: fatutuani | Linguist: fatutuani
BPE: ka | Linguist: ka
BPE: kastom | Linguist: kastom
BPE: mana | Linguist: mana
BPE: mana | Linguist: mana
BPE: mana | Linguist: mana
BPE: mana | Linguist: mana
BPE: na | Linguist: na
BPE: theome | Linguist: theome
BPE: ukru | Linguist: ukru
BPE: mana | Linguist: mana
BPE: na | Linguist: na
BPE: theome | Linguist: theome
BPE: vega | Linguist: vega
BPE: mae | Linguist: mae
BPE: bi’o | Linguist: bi’o
BPE: mae | Linguist: mae
BPE: mola | Linguist: mola
BPE: na | Linguist: na
BPE: ḡaju | Linguist: ḡaju
BPE: bi'o | Linguist: bi'o
BPE: fara | Linguist: fara
BPE: nalha'u | Linguist: nalha'u
BPE: gne | Linguist: gne
BPE: n̄ala | Linguist: n̄ala
BPE: jateu | Linguist: jateu
BPE: te | Linguist: te
BPE: mae | Linguist: mae
BPE: ka | Linguist: ka
BPE: na | Linguist: na
BPE: mae | Linguist: mae
BPE: gne | Linguist: gne
BPE: pukuni | Linguist: pukuni
BPE: fara | Linguist: fara
BPE: mae | Linguist: mae
BPE: ḡre | Linguist: ḡre
BPE: egu | Linguist: egu
BPE: mae | Linguist: mae
BPE: mae | Linguist: mae
BPE: mei | Linguist: mei
BPE: au | Linguist: au
BPE: ka | Linguist: ka
BPE: iara | Linguist: iara
BPE: sua | Linguist: sua
BPE: re | Linguist: re
BPE: iara | Linguist: iara
BPE: egu | Linguist: egu
BPE: thonu | Linguist: thonu
BPE: iara | Linguist: iara
BPE: na | Linguist: na
BPE: ro | Linguist: ro
BPE: ḡre | Linguist: ḡre
BPE: mare | Linguist: mare
BPE: scone | Linguist: scone
BPE: naikno | Linguist: naikno
BPE: ḡre | Linguist: ḡre
BPE: teuna | Linguist: teuna
BPE: believe | Linguist: believe
BPE: kolho | Linguist: kolho
BPE: ka | Linguist: ka
BPE: kastom | Linguist: kastom
BPE: ḡa'ase | Linguist: ḡa'ase
BPE: re | Linguist: re
BPE: na | Linguist: na
BPE: nu | Linguist: nu
BPE: keha | Linguist: keha
BPE: naikno | Linguist: naikno
BPE: re | Linguist: re
BPE: theo | Linguist: theo
BPE: kolho | Linguist: kolho
BPE: ḡa'ase | Linguist: ḡa'ase
BPE: nalha'u | Linguist: nalha'u
BPE: re | Linguist: re
BPE: gne | Linguist: gne
BPE: te | Linguist: te
BPE: mala | Linguist: mala
BPE: vike | Linguist: vike
BPE: eha | Linguist: eha
BPE: mae | Linguist: mae
BPE: funei | Linguist: funei
BPE: re | Linguist: re
BPE: naikno | Linguist: naikno
BPE: nakrupe | Linguist: nakrupe
BPE: funei | Linguist: funei
BPE: mae | Linguist: mae
BPE: prisi | Linguist: prisi
BPE: egu | Linguist: egu
BPE: te | Linguist: te
BPE: keli | Linguist: keli
BPE: na | Linguist: na
BPE: e | Linguist: e
BPE: thuatufa | Linguist: thuatufa
BPE: thau | Linguist: thau
BPE: te | Linguist: te
BPE: au | Linguist: au
BPE: rofo | Linguist: rofo
BPE: bi'o | Linguist: bi'o
BPE: are | Linguist: are
BPE: egu | Linguist: egu
BPE: te | Linguist: te
BPE: theo | Linguist: theo
BPE: te | Linguist: te
BPE: teure | Linguist: teure
BPE: me | Linguist: me
BPE: ka | Linguist: ka
BPE: mae | Linguist: mae
BPE: dokta | Linguist: dokta
BPE: ne | Linguist: ne
BPE: keli | Linguist: keli
BPE: ne | Linguist: ne
BPE: thau | Linguist: thau
BPE: nosi | Linguist: nosi
BPE: ne | Linguist: ne
BPE: keli | Linguist: keli
BPE: ne | Linguist: ne
BPE: egu | Linguist: egu
BPE: n̄a | Linguist: n̄a
BPE: tahati | Linguist: tahati
BPE: kaisei | Linguist: kaisei
BPE: thau | Linguist: thau
BPE: bi’o | Linguist: bi’o
BPE: te | Linguist: te
BPE: bukla | Linguist: bukla
BPE: nu | Linguist: nu
BPE: tahati | Linguist: tahati
BPE: la | Linguist: la
BPE: te | Linguist: te
BPE: au | Linguist: au
BPE: sua | Linguist: sua
BPE: na'a | Linguist: na'a
BPE: na | Linguist: na
BPE: egu | Linguist: egu
BPE: thau | Linguist: thau
BPE: te | Linguist: te
BPE: kuma | Linguist: kuma
BPE: nalha'u | Linguist: nalha'u
BPE: n̄a | Linguist: n̄a
BPE: iago | Linguist: iago
BPE: nu | Linguist: nu
BPE: iago | Linguist: iago
BPE: theome | Linguist: theome
BPE: tan̄omana | Linguist: tan̄omana
BPE: teke | Linguist: teke
BPE: tolagi | Linguist: tolagi
BPE: ka | Linguist: ka
BPE: thau | Linguist: thau
BPE: te | Linguist: te
BPE: na | Linguist: na
BPE: egu | Linguist: egu
BPE: nalha’u | Linguist: nalha’u
BPE: neke | Linguist: neke
BPE: tei | Linguist: tei
BPE: uḡra | Linguist: uḡra
BPE: visi | Linguist: visi
BPE: au | Linguist: au
BPE: fati | Linguist: fati
BPE: sua | Linguist: sua
BPE: nalha’u | Linguist: nalha’u
BPE: kaisei | Linguist: kaisei
BPE: mae | Linguist: mae
BPE: te | Linguist: te
BPE: au | Linguist: au
BPE: ka | Linguist: ka
BPE: u | Linguist: u
BPE: plantesin | Linguist: plantesin
BPE: te | Linguist: te
BPE: au | Linguist: au
BPE: ka | Linguist: ka
BPE: ministri | Linguist: ministri
BPE: tei | Linguist: tei
BPE: tafri | Linguist: tafri
BPE: keha | Linguist: keha
BPE: mae | Linguist: mae
BPE: u | Linguist: u
BPE: puhi | Linguist: puhi
BPE: te | Linguist: te
BPE: mae | Linguist: mae
BPE: mae | Linguist: mae
BPE: ḡre | Linguist: ḡre
BPE: gehati | Linguist: gehati
BPE: mae | Linguist: mae
BPE: jare | Linguist: jare
BPE: re | Linguist: re
BPE: keha | Linguist: keha
BPE: overseas | Linguist: overseas
BPE: ḡloku | Linguist: ḡloku
BPE: iago | Linguist: iago
