BPE: e | Linguist: e
BPE: ka | Linguist: ka
BPE: neke | Linguist: neke
BPE: kaisei | Linguist: kaisei
BPE: u | Linguist: u
BPE: ka | Linguist: ka
BPE: mana | Linguist: mana
BPE: mana | Linguist: mana
BPE: mana | Linguist: mana
BPE: mana | Linguist: mana
BPE: na | Linguist: na
BPE: mana | Linguist: mana
BPE: na | Linguist: na
BPE: mae | Linguist: mae
BPE: mae | Linguist: mae
BPE: na | Linguist: na
BPE: fara | Linguist: fara
BPE: nalha'u | Linguist: nalha'u
BPE: gne | Linguist: gne
BPE: te | Linguist: te
BPE: mae | Linguist: mae
BPE: te u | Linguist: te u
BPE: ka | Linguist: ka
BPE: na | Linguist: na
BPE: mae | Linguist: mae
BPE: gne | Linguist: gne
BPE: fara | Linguist: fara
BPE: mae | Linguist: mae
BPE: ḡre | Linguist: ḡre
BPE: egu | Linguist: egu
BPE: mae | Linguist: mae
BPE: mae | Linguist: mae
BPE: mei | Linguist: mei
BPE: au | Linguist: au
BPE: ka | Linguist: ka
BPE: iara | Linguist: iara
BPE: sua | Linguist: sua
BPE: re | Linguist: re
BPE: iara | Linguist: iara
BPE: egu | Linguist: egu
BPE: iara | Linguist: iara
BPE: na | Linguist: na
BPE: ḡre | Linguist: ḡre
BPE: mare | Linguist: mare
BPE: ḡre | Linguist: ḡre
BPE: teuna | Linguist: teuna
BPE: ka | Linguist: ka
BPE: ḡa'ase | Linguist: ḡa'ase
BPE: re | Linguist: re
BPE: na | Linguist: na
BPE: re | Linguist: re
BPE: no di | Linguist: no di
BPE: ḡa'ase | Linguist: ḡa'ase
BPE: nalha'u | Linguist: nalha'u
BPE: re | Linguist: re
BPE: gne | Linguist: gne
BPE: te | Linguist: te
BPE: mala | Linguist: mala
BPE: mae | Linguist: mae
BPE: re | Linguist: re
BPE: mae | Linguist: mae
BPE: egu | Linguist: egu
BPE: te | Linguist: te
BPE: na | Linguist: na
BPE: e | Linguist: e
BPE: fa ge di | Linguist: fa ge di
BPE: thau | Linguist: thau
BPE: te | Linguist: te
BPE: au | Linguist: au
BPE: egu | Linguist: egu
BPE: te | Linguist: te
BPE: te | Linguist: te
BPE: me | Linguist: me
BPE: ka | Linguist: ka
BPE: mae | Linguist: mae
BPE: ne | Linguist: ne
BPE: ne | Linguist: ne
BPE: thau | Linguist: thau
BPE: ne | Linguist: ne
BPE: ne | Linguist: ne
BPE: egu | Linguist: egu
BPE: kaisei | Linguist: kaisei
BPE: thau | Linguist: thau
BPE: te | Linguist: te
BPE: te u | Linguist: te u
BPE: la | Linguist: la
BPE: te | Linguist: te
BPE: au | Linguist: au
BPE: sua | Linguist: sua
BPE: te u | Linguist: te u
BPE: na | Linguist: na
BPE: egu | Linguist: egu
BPE: thau | Linguist: thau
BPE: te | Linguist: te
BPE: nalha'u | Linguist: nalha'u
BPE: ka | Linguist: ka
BPE: thau | Linguist: thau
BPE: te | Linguist: te
BPE: na | Linguist: na
BPE: egu | Linguist: egu
BPE: neke | Linguist: neke
BPE: tei | Linguist: tei
BPE: au | Linguist: au
BPE: sua | Linguist: sua
BPE: kaisei | Linguist: kaisei
BPE: mae | Linguist: mae
BPE: te | Linguist: te
BPE: au | Linguist: au
BPE: ka | Linguist: ka
BPE: u | Linguist: u
BPE: te | Linguist: te
BPE: au | Linguist: au
BPE: ka | Linguist: ka
BPE: tei | Linguist: tei
BPE: mae | Linguist: mae
BPE: u | Linguist: u
BPE: te | Linguist: te
BPE: mae | Linguist: mae
BPE: mae | Linguist: mae
BPE: ḡre | Linguist: ḡre
BPE: mae | Linguist: mae
BPE: re | Linguist: re
BPE: na | Linguist: na
BPE: e | Linguist: e
BPE: egu | Linguist: egu
BPE: au | Linguist: au
BPE: sua | Linguist: sua
BPE: kaisei | Linguist: kaisei
BPE: ḡa'ase | Linguist: ḡa'ase
BPE: nalha'u | Linguist: nalha'u
BPE: egu | Linguist: egu
BPE: kaisei | Linguist: kaisei
BPE: mae | Linguist: mae
BPE: te | Linguist: te
BPE: na | Linguist: na
BPE: mae | Linguist: mae
BPE: sua | Linguist: sua
BPE: na | Linguist: na
BPE: mae | Linguist: mae
