BPE: ja | Linguist: ja
BPE: ja | Linguist: ja
BPE: ja | Linguist: ja
BPE: biebmo jd | Linguist: biebmo jd
BPE: men | Linguist: men
BPE: del | Linguist: del
BPE: dä | Linguist: dä
BPE: ja | Linguist: ja
BPE: dä | Linguist: dä
BPE: almatj | Linguist: almatj
BPE: lä | Linguist: lä
BPE: lä | Linguist: lä
BPE: ma jna | Linguist: ma jna
BPE: dä | Linguist: dä
BPE: ja | Linguist: ja
BPE: ja | Linguist: ja
BPE: mån | Linguist: mån
BPE: båtsoj | Linguist: båtsoj
BPE: ij | Linguist: ij
BPE: aj | Linguist: aj
BPE: dån | Linguist: dån
BPE: lä | Linguist: lä
BPE: nå | Linguist: nå
BPE: lä | Linguist: lä
BPE: nå | Linguist: nå
BPE: dån | Linguist: dån
BPE: mån | Linguist: mån
BPE: mån | Linguist: mån
BPE: lä | Linguist: lä
BPE: lä | Linguist: lä
BPE: mån | Linguist: mån
BPE: men | Linguist: men
BPE: sáme | Linguist: sáme
BPE: duv | Linguist: duv
BPE: jala | Linguist: jala
BPE: del | Linguist: del
BPE: vuodja | Linguist: vuodja
BPE: ja | Linguist: ja
BPE: dä | Linguist: dä
BPE: lä | Linguist: lä
BPE: akta | Linguist: akta
BPE: vuoras | Linguist: vuoras
BPE: dån | Linguist: dån
BPE: lä | Linguist: lä
BPE: vuodja | Linguist: vuodja
BPE: vuodja | Linguist: vuodja
BPE: dá | Linguist: dá
BPE: lä | Linguist: lä
BPE: jus | Linguist: jus
BPE: aktak | Linguist: aktak
BPE: nå | Linguist: nå
BPE: dä | Linguist: dä
BPE: nå | Linguist: nå
BPE: del | Linguist: del
BPE: ja | Linguist: ja
BPE: ja | Linguist: ja
BPE: dä | Linguist: dä
BPE: sa | Linguist: sa
BPE: del | Linguist: del
BPE: lä | Linguist: lä
BPE: ber | Linguist: ber
BPE: mu v | Linguist: mu v
BPE: viesso min | Linguist: viesso min
BPE: dále | Linguist: dále
BPE: oj | Linguist: oj
BPE: ij | Linguist: ij
BPE: mån | Linguist: mån
BPE: birra | Linguist: birra
BPE: mån | Linguist: mån
BPE: lä | Linguist: lä
BPE: nå | Linguist: nå
BPE: ge jna | Linguist: ge jna
BPE: dä | Linguist: dä
BPE: lä | Linguist: lä
BPE: dån | Linguist: dån
BPE: lä | Linguist: lä
BPE: nå | Linguist: nå
BPE: ja | Linguist: ja
BPE: dä | Linguist: dä
BPE: lä | Linguist: lä
BPE: aj | Linguist: aj
BPE: aj | Linguist: aj
BPE: lä | Linguist: lä
BPE: dån | Linguist: dån
BPE: birra | Linguist: birra
BPE: almatj | Linguist: almatj
BPE: man | Linguist: man
BPE: gu | Linguist: gu
BPE: mån | Linguist: mån
BPE: båtsoj | Linguist: båtsoj
BPE: ja | Linguist: ja
BPE: lä | Linguist: lä
BPE: lä | Linguist: lä
BPE: tjábba | Linguist: tjábba
BPE: máhtta | Linguist: máhtta
BPE: sáme | Linguist: sáme
BPE: lä | Linguist: lä
BPE: tjábba | Linguist: tjábba
BPE: lä | Linguist: lä
BPE: lä | Linguist: lä
BPE: lä | Linguist: lä
BPE: buhtsu | Linguist: buhtsu
BPE: lä | Linguist: lä
BPE: nav | Linguist: nav
BPE: ja | Linguist: ja
BPE: så | Linguist: så
BPE: dä | Linguist: dä
BPE: lä | Linguist: lä
BPE: mån | Linguist: mån
BPE: buhtsu | Linguist: buhtsu
BPE: lä | Linguist: lä
BPE: akta | Linguist: akta
BPE: vuoras | Linguist: vuoras
BPE: akta | Linguist: akta
BPE: lä | Linguist: lä
BPE: lä | Linguist: lä
BPE: vanj | Linguist: vanj
BPE: dä | Linguist: dä
BPE: månnå | Linguist: månnå
BPE: aj | Linguist: aj
BPE: gu | Linguist: gu
BPE: unna | Linguist: unna
BPE: lä | Linguist: lä
BPE: ber | Linguist: ber
BPE: akta | Linguist: akta
BPE: ja | Linguist: ja
BPE: lä | Linguist: lä
BPE: lä | Linguist: lä
BPE: unna | Linguist: unna
BPE: ja | Linguist: ja
BPE: danne | Linguist: danne
BPE: unna | Linguist: unna
BPE: ja | Linguist: ja
BPE: dä | Linguist: dä
BPE: ja | Linguist: ja
BPE: lä | Linguist: lä
BPE: lä | Linguist: lä
BPE: mån | Linguist: mån
BPE: ja | Linguist: ja
BPE: ij | Linguist: ij
BPE: lä | Linguist: lä
BPE: aktak | Linguist: aktak
BPE: gu | Linguist: gu
BPE: almatj | Linguist: almatj
BPE: aktak | Linguist: aktak
BPE: almatj | Linguist: almatj
BPE: lä | Linguist: lä
BPE: lä | Linguist: lä
BPE: gu | Linguist: gu
BPE: men | Linguist: men
BPE: men | Linguist: men
BPE: ja | Linguist: ja
BPE: lä | Linguist: lä
BPE: dä | Linguist: dä
BPE: del | Linguist: del
BPE: ja | Linguist: ja
BPE: ja | Linguist: ja
BPE: dä | Linguist: dä
BPE: mån | Linguist: mån
BPE: så | Linguist: så
BPE: dä | Linguist: dä
BPE: lä | Linguist: lä
BPE: ja | Linguist: ja
BPE: dä | Linguist: dä
BPE: lä | Linguist: lä
BPE: ja | Linguist: ja
BPE: dä | Linguist: dä
BPE: men | Linguist: men
BPE: mån | Linguist: mån
BPE: mån | Linguist: mån
BPE: vuosta mos | Linguist: vuosta mos
BPE: v | Linguist: v
BPE: lä | Linguist: lä
