BPE: ini mä | Linguist: ini mä
BPE: ja | Linguist: ja
BPE: ja | Linguist: ja
BPE: ja | Linguist: ja
BPE: men | Linguist: men
BPE: del | Linguist: del
BPE: njallge | Linguist: njallge
BPE: dä | Linguist: dä
BPE: stuor | Linguist: stuor
BPE: ja | Linguist: ja
BPE: dä | Linguist: dä
BPE: almatj | Linguist: almatj
BPE: muvne | Linguist: muvne
BPE: lä | Linguist: lä
BPE: gokt | Linguist: gokt
BPE: lä | Linguist: lä
BPE: namma | Linguist: namma
BPE: ságasta | Linguist: ságasta
BPE: sinne | Linguist: sinne
BPE: dä | Linguist: dä
BPE: ja | Linguist: ja
BPE: ja | Linguist: ja
BPE: mån | Linguist: mån
BPE: gajka | Linguist: gajka
BPE: båtsoj | Linguist: båtsoj
BPE: ij | Linguist: ij
BPE: muv | Linguist: muv
BPE: aj | Linguist: aj
BPE: dån | Linguist: dån
BPE: lä | Linguist: lä
BPE: munje | Linguist: munje
BPE: nå | Linguist: nå
BPE: lä | Linguist: lä
BPE: bena | Linguist: bena
BPE: nå | Linguist: nå
BPE: gåsse | Linguist: gåsse
BPE: dija | Linguist: dija
BPE: dån | Linguist: dån
BPE: mån | Linguist: mån
BPE: mån | Linguist: mån
BPE: lä | Linguist: lä
BPE: gåhte | Linguist: gåhte
BPE: lä | Linguist: lä
BPE: mån | Linguist: mån
BPE: stuora b | Linguist: stuora b
BPE: men | Linguist: men
BPE: sáme | Linguist: sáme
BPE: duv | Linguist: duv
BPE: válda | Linguist: válda
BPE: jala | Linguist: jala
BPE: del | Linguist: del
BPE: vuodja | Linguist: vuodja
BPE: ja | Linguist: ja
BPE: dä | Linguist: dä
BPE: badjel | Linguist: badjel
BPE: lä | Linguist: lä
BPE: akta | Linguist: akta
BPE: vuoras | Linguist: vuoras
BPE: dån | Linguist: dån
BPE: lä | Linguist: lä
BPE: dal | Linguist: dal
BPE: bedna n | Linguist: bedna n
BPE: vuodja | Linguist: vuodja
BPE: dugu | Linguist: dugu
BPE: vuodja | Linguist: vuodja
BPE: dugu | Linguist: dugu
BPE: dá | Linguist: dá
BPE: lä | Linguist: lä
BPE: jus | Linguist: jus
BPE: aktak | Linguist: aktak
BPE: nagin | Linguist: nagin
BPE: nå | Linguist: nå
BPE: dä | Linguist: dä
BPE: nå | Linguist: nå
BPE: del | Linguist: del
BPE: ja | Linguist: ja
BPE: ja | Linguist: ja
BPE: dä | Linguist: dä
BPE: sa | Linguist: sa
BPE: del | Linguist: del
BPE: lä | Linguist: lä
BPE: ber | Linguist: ber
BPE: äddne=l | Linguist: äddne=l
BPE: dále | Linguist: dále
BPE: oj | Linguist: oj
BPE: ij | Linguist: ij
BPE: dága | Linguist: dága
BPE: mån | Linguist: mån
BPE: birra | Linguist: birra
BPE: mån | Linguist: mån
BPE: etj | Linguist: etj
BPE: etj | Linguist: etj
BPE: lä | Linguist: lä
BPE: nå | Linguist: nå
BPE: ge jna | Linguist: ge jna
BPE: dä | Linguist: dä
BPE: lä | Linguist: lä
BPE: dån | Linguist: dån
BPE: lä | Linguist: lä
BPE: nå | Linguist: nå
BPE: mikkir | Linguist: mikkir
BPE: mikkir | Linguist: mikkir
BPE: ja | Linguist: ja
BPE: dä | Linguist: dä
BPE: lä | Linguist: lä
BPE: aj | Linguist: aj
BPE: aj | Linguist: aj
BPE: gåba n | Linguist: gåba n
BPE: lä | Linguist: lä
BPE: dån | Linguist: dån
BPE: gåba j | Linguist: gåba j
BPE: birra | Linguist: birra
BPE: ságasta | Linguist: ságasta
BPE: gukte | Linguist: gukte
BPE: almatj | Linguist: almatj
BPE: man | Linguist: man
BPE: mälgat | Linguist: mälgat
BPE: gu | Linguist: gu
BPE: mån | Linguist: mån
BPE: diede | Linguist: diede
BPE: villges | Linguist: villges
BPE: båtsoj | Linguist: båtsoj
BPE: ja | Linguist: ja
BPE: lä | Linguist: lä
BPE: buorak | Linguist: buorak
BPE: giesse | Linguist: giesse
BPE: lä | Linguist: lä
BPE: njallge | Linguist: njallge
BPE: tjábba | Linguist: tjábba
BPE: máhtta | Linguist: máhtta
BPE: sáme | Linguist: sáme
BPE: lä | Linguist: lä
BPE: huj | Linguist: huj
BPE: tjábba | Linguist: tjábba
BPE: lä | Linguist: lä
BPE: lä | Linguist: lä
BPE: lä | Linguist: lä
BPE: buhtsu | Linguist: buhtsu
BPE: lä | Linguist: lä
BPE: nav | Linguist: nav
BPE: buojde | Linguist: buojde
BPE: ja | Linguist: ja
BPE: så | Linguist: så
BPE: dä | Linguist: dä
BPE: lä | Linguist: lä
BPE: mån | Linguist: mån
BPE: buhtsu | Linguist: buhtsu
BPE: lä | Linguist: lä
BPE: akta | Linguist: akta
BPE: vuoras | Linguist: vuoras
BPE: måj | Linguist: måj
BPE: akta | Linguist: akta
BPE: lä | Linguist: lä
BPE: stuora p | Linguist: stuora p
BPE: lä | Linguist: lä
BPE: vanj | Linguist: vanj
BPE: dä | Linguist: dä
BPE: gajk | Linguist: gajk
BPE: jå | Linguist: jå
BPE: månnå | Linguist: månnå
BPE: aj | Linguist: aj
BPE: gu | Linguist: gu
BPE: unna | Linguist: unna
BPE: máná tj | Linguist: máná tj
BPE: bena | Linguist: bena
BPE: lä | Linguist: lä
BPE: ber | Linguist: ber
BPE: akta | Linguist: akta
