BPE: kaniŋ | Linguist: kaniŋ
BPE: loʔa | Linguist: loʔa
BPE: chem | Linguist: chem
BPE: ka | Linguist: ka
BPE: ka | Linguist: ka
BPE: nda | Linguist: nda
BPE: nda | Linguist: nda
BPE: ceʔya | Linguist: ceʔya
BPE: babu | Linguist: babu
BPE: nna | Linguist: nna
BPE: siŋ | Linguist: siŋ
BPE: ka | Linguist: ka
BPE: nda | Linguist: nda
BPE: cama | Linguist: cama
BPE: uŋci ŋa | Linguist: uŋci ŋa
BPE: cog wa | Linguist: cog wa
BPE: ka | Linguist: ka
BPE: mamu | Linguist: mamu
BPE: men | Linguist: men
BPE: kaniŋ | Linguist: kaniŋ
BPE: kaniŋ | Linguist: kaniŋ
BPE: m ba | Linguist: m ba
BPE: heʔne | Linguist: heʔne
BPE: nhaŋa | Linguist: nhaŋa
BPE: na | Linguist: na
BPE: babu | Linguist: babu
BPE: nna | Linguist: nna
BPE: babu | Linguist: babu
BPE: kha | Linguist: kha
BPE: ŋkha | Linguist: ŋkha
BPE: kha | Linguist: kha
BPE: kham | Linguist: kham
BPE: ŋkha | Linguist: ŋkha
BPE: kham | Linguist: kham
BPE: na | Linguist: na
BPE: imin | Linguist: imin
BPE: kha | Linguist: kha
BPE: kha | Linguist: kha
BPE: cuwa | Linguist: cuwa
BPE: khumdu ha | Linguist: khumdu ha
BPE: kha ci | Linguist: kha ci
BPE: ŋkha ci | Linguist: ŋkha ci
BPE: ha | Linguist: ha
BPE: imin | Linguist: imin
BPE: ka | Linguist: ka
BPE: eko | Linguist: eko
BPE: so ŋ | Linguist: so ŋ
BPE: eko | Linguist: eko
BPE: eko | Linguist: eko
BPE: yapmi | Linguist: yapmi
BPE: honna | Linguist: honna
BPE: eko se | Linguist: eko se
BPE: cok saŋ | Linguist: cok saŋ
BPE: honna | Linguist: honna
BPE: yapmi | Linguist: yapmi
BPE: eko | Linguist: eko
BPE: mina | Linguist: mina
BPE: nhaŋ | Linguist: nhaŋ
BPE: honna | Linguist: honna
BPE: so saŋ | Linguist: so saŋ
BPE: ka ya | Linguist: ka ya
BPE: uŋ | Linguist: uŋ
BPE: haku | Linguist: haku
BPE: eko | Linguist: eko
BPE: paŋ | Linguist: paŋ
BPE: cok ma | Linguist: cok ma
BPE: eko | Linguist: eko
BPE: mamu | Linguist: mamu
BPE: uŋci | Linguist: uŋci
BPE: i | Linguist: i
BPE: nhaŋa | Linguist: nhaŋa
BPE: pheri | Linguist: pheri
BPE: khaʔla maŋ ba | Linguist: khaʔla maŋ ba
BPE: ta me | Linguist: ta me
BPE: niŋ be | Linguist: niŋ be
BPE: uŋci | Linguist: uŋci
BPE: cok ma ca | Linguist: cok ma ca
BPE: ŋkhaʔla | Linguist: ŋkhaʔla
BPE: bhoŋ | Linguist: bhoŋ
BPE: lop | Linguist: lop
BPE: ka | Linguist: ka
BPE: eh | Linguist: eh
BPE: ikhiŋ | Linguist: ikhiŋ
BPE: mam ha | Linguist: mam ha
