BPE: r awe | Linguist: r awe
BPE: r atʃĩ | Linguist: r atʃĩ
BPE: ku | Linguist: ku
BPE: he | Linguist: he
BPE: tajahu | Linguist: tajahu
BPE: pawẽ | Linguist: pawẽ
BPE: retemeʔe | Linguist: retemeʔe
BPE: he | Linguist: he
BPE: pẽ juka | Linguist: pẽ juka
BPE: ku | Linguist: ku
BPE: pẽ | Linguist: pẽ
BPE: tapyʔy | Linguist: tapyʔy
BPE: aʔy | Linguist: aʔy
BPE: ku | Linguist: ku
BPE: ure | Linguist: ure
BPE: jaty | Linguist: jaty
BPE: ere iwũ | Linguist: ere iwũ
BPE: ku | Linguist: ku
BPE: ne | Linguist: ne
BPE: arapuha | Linguist: arapuha
BPE: awa | Linguist: awa
BPE: pa | Linguist: pa
BPE: he | Linguist: he
BPE: meʔe | Linguist: meʔe
BPE: pu | Linguist: pu
BPE: ku | Linguist: ku
BPE: ne | Linguist: ne
BPE: arapuha | Linguist: arapuha
BPE: pa | Linguist: pa
BPE: ne | Linguist: ne
BPE: reʔe | Linguist: reʔe
BPE: he | Linguist: he
BPE: meʔe | Linguist: meʔe
BPE: pa | Linguist: pa
BPE: rupe | Linguist: rupe
BPE: meʔe | Linguist: meʔe
BPE: pa | Linguist: pa
BPE: he | Linguist: he
BPE: ja | Linguist: ja
BPE: we | Linguist: we
BPE: tajahu | Linguist: tajahu
BPE: ja | Linguist: ja
BPE: we | Linguist: we
BPE: arapuha | Linguist: arapuha
BPE: hetĩ | Linguist: hetĩ
BPE: he | Linguist: he
BPE: ku | Linguist: ku
BPE: he | Linguist: he
BPE: he | Linguist: he
BPE: he | Linguist: he
BPE: he | Linguist: he
BPE: he | Linguist: he
BPE: ure | Linguist: ure
BPE: ku | Linguist: ku
BPE: ure | Linguist: ure
BPE: dydy | Linguist: dydy
BPE: ure | Linguist: ure
BPE: aʔy | Linguist: aʔy
BPE: he | Linguist: he
BPE: ku | Linguist: ku
BPE: pẽ | Linguist: pẽ
