BPE: aj | Linguist: aj
BPE: mapi | Linguist: mapi
BPE: jũ | Linguist: jũ
BPE: kwini | Linguist: kwini
BPE: ũko | Linguist: ũko
BPE: kani | Linguist: kani
BPE: ũko | Linguist: ũko
BPE: opera | Linguist: opera
BPE: jato | Linguist: jato
BPE: muj | Linguist: muj
BPE: pja | Linguist: pja
BPE: pjato | Linguist: pjato
BPE: ojo | Linguist: ojo
BPE: ojoteo | Linguist: ojoteo
BPE: papa | Linguist: papa
BPE: kanio | Linguist: kanio
BPE: ype | Linguist: ype
BPE: atsonio | Linguist: atsonio
BPE: meja | Linguist: meja
BPE: kytso | Linguist: kytso
BPE: ña | Linguist: ña
BPE: jato | Linguist: jato
BPE: muj | Linguist: muj
BPE: pja | Linguist: pja
BPE: pjato | Linguist: pjato
BPE: ojo | Linguist: ojo
BPE: ojoteo | Linguist: ojoteo
BPE: papa | Linguist: papa
BPE: ype | Linguist: ype
BPE: meja | Linguist: meja
BPE: kytso | Linguist: kytso
BPE: jũ | Linguist: jũ
BPE: mow | Linguist: mow
BPE: pja | Linguist: pja
BPE: ype | Linguist: ype
BPE: ña | Linguist: ña
BPE: ype | Linguist: ype
BPE: pja | Linguist: pja
BPE: nuti o | Linguist: nuti o
BPE: ña | Linguist: ña
BPE: tyj | Linguist: tyj
BPE: jato | Linguist: jato
BPE: meja | Linguist: meja
BPE: ña | Linguist: ña
BPE: muj | Linguist: muj
BPE: ña | Linguist: ña
BPE: ña | Linguist: ña
BPE: na | Linguist: na
BPE: e kani o ævo | Linguist: e kani o ævo
BPE: opera | Linguist: opera
BPE: oky | Linguist: oky
BPE: i a | Linguist: i a
BPE: pja | Linguist: pja
BPE: tyj | Linguist: tyj
BPE: ña | Linguist: ña
BPE: tsyke nake | Linguist: tsyke nake
BPE: ũko | Linguist: ũko
BPE: muj | Linguist: muj
BPE: ña | Linguist: ña
BPE: kani | Linguist: kani
BPE: ña | Linguist: ña
BPE: e | Linguist: e
BPE: ojo | Linguist: ojo
BPE: ña | Linguist: ña
BPE: nuti | Linguist: nuti
BPE: ojo | Linguist: ojo
BPE: jũ | Linguist: jũ
BPE: kani | Linguist: kani
BPE: ævo | Linguist: ævo
BPE: jũ | Linguist: jũ
BPE: kani | Linguist: kani
BPE: e tsĩkwa | Linguist: e tsĩkwa
BPE: jũ | Linguist: jũ
BPE: jũ | Linguist: jũ
BPE: jũ | Linguist: jũ
BPE: ævo | Linguist: ævo
BPE: kani | Linguist: kani
BPE: jũ | Linguist: jũ
BPE: e | Linguist: e
BPE: kani | Linguist: kani
BPE: ajte | Linguist: ajte
BPE: ore | Linguist: ore
BPE: ojte | Linguist: ojte
BPE: ore | Linguist: ore
BPE: aj | Linguist: aj
BPE: æky | Linguist: æky
BPE: nukũ | Linguist: nukũ
BPE: aj | Linguist: aj
BPE: ry | Linguist: ry
BPE: mi | Linguist: mi
BPE: aj | Linguist: aj
BPE: mi | Linguist: mi
BPE: jũ | Linguist: jũ
BPE: e | Linguist: e
BPE: aj | Linguist: aj
BPE: mi | Linguist: mi
BPE: aj | Linguist: aj
BPE: ña | Linguist: ña
BPE: aj | Linguist: aj
BPE: aj | Linguist: aj
BPE: kuni | Linguist: kuni
BPE: itæ | Linguist: itæ
BPE: aj | Linguist: aj
BPE: mi | Linguist: mi
BPE: tsero | Linguist: tsero
BPE: itæ | Linguist: itæ
BPE: mi | Linguist: mi
BPE: ere | Linguist: ere
BPE: ojte | Linguist: ojte
BPE: ævo | Linguist: ævo
BPE: ojte | Linguist: ojte
BPE: nake | Linguist: nake
BPE: ã nake | Linguist: ã nake
BPE: oj | Linguist: oj
BPE: aj | Linguist: aj
BPE: toky | Linguist: toky
BPE: ajte | Linguist: ajte
BPE: toky | Linguist: toky
BPE: mi | Linguist: mi
BPE: toky | Linguist: toky
BPE: mite | Linguist: mite
BPE: toky | Linguist: toky
BPE: oj | Linguist: oj
BPE: toky | Linguist: toky
BPE: ojte | Linguist: ojte
BPE: toky | Linguist: toky
BPE: aj | Linguist: aj
BPE: ajte | Linguist: ajte
BPE: mi | Linguist: mi
BPE: mite | Linguist: mite
BPE: oj | Linguist: oj
BPE: ojte | Linguist: ojte
BPE: aj | Linguist: aj
BPE: toky | Linguist: toky
BPE: ja | Linguist: ja
BPE: ajte | Linguist: ajte
BPE: toky | Linguist: toky
BPE: ja | Linguist: ja
BPE: mi | Linguist: mi
BPE: toky | Linguist: toky
BPE: ja | Linguist: ja
BPE: mite | Linguist: mite
BPE: toky | Linguist: toky
BPE: ja | Linguist: ja
BPE: oj | Linguist: oj
BPE: toky | Linguist: toky
BPE: ja | Linguist: ja
BPE: ojte | Linguist: ojte
BPE: toky | Linguist: toky
BPE: ja | Linguist: ja
BPE: ña | Linguist: ña
BPE: pja | Linguist: pja
BPE: ojo | Linguist: ojo
BPE: iva | Linguist: iva
BPE: jato | Linguist: jato
BPE: papa | Linguist: papa
BPE: pjato | Linguist: pjato
BPE: kan te | Linguist: kan te
BPE: tũvo | Linguist: tũvo
BPE: pja | Linguist: pja
BPE: pjato | Linguist: pjato
BPE: pja | Linguist: pja
BPE: tyj | Linguist: tyj
BPE: pja | Linguist: pja
BPE: ña | Linguist: ña
BPE: pira õ kỹĵ | Linguist: pira õ kỹĵ
BPE: ojo | Linguist: ojo
BPE: pja | Linguist: pja
BPE: tyj | Linguist: tyj
BPE: ña | Linguist: ña
BPE: ojo | Linguist: ojo
BPE: tyj | Linguist: tyj
BPE: jũ | Linguist: jũ
BPE: ævo | Linguist: ævo
BPE: ereã | Linguist: ereã
BPE: ũko | Linguist: ũko
BPE: ævo | Linguist: ævo
BPE: ereã | Linguist: ereã
BPE: mi | Linguist: mi
BPE: ũko | Linguist: ũko
BPE: e | Linguist: e
BPE: nuvi | Linguist: nuvi
BPE: oj | Linguist: oj
BPE: naj | Linguist: naj
BPE: oj | Linguist: oj
BPE: pja | Linguist: pja
BPE: kani | Linguist: kani
BPE: oj | Linguist: oj
BPE: nuvi | Linguist: nuvi
BPE: naj | Linguist: naj
BPE: pja | Linguist: pja
BPE: koro | Linguist: koro
BPE: ja | Linguist: ja
BPE: pja | Linguist: pja
BPE: oj | Linguist: oj
BPE: æky | Linguist: æky
BPE: jũ | Linguist: jũ
BPE: kani | Linguist: kani
BPE: pja | Linguist: pja
BPE: ævo | Linguist: ævo
BPE: re | Linguist: re
BPE: mi | Linguist: mi
BPE: jũ | Linguist: jũ
BPE: tyj tsi | Linguist: tyj tsi
BPE: ũko | Linguist: ũko
BPE: jũ | Linguist: jũ
BPE: jũ | Linguist: jũ
BPE: e tsĩkwa tsi | Linguist: e tsĩkwa tsi
BPE: ũko | Linguist: ũko
BPE: pja | Linguist: pja
BPE: kani | Linguist: kani
BPE: poa | Linguist: poa
BPE: mi | Linguist: mi
BPE: i pe kuta | Linguist: i pe kuta
BPE: pja | Linguist: pja
BPE: papa | Linguist: papa
BPE: re | Linguist: re
BPE: orymape | Linguist: orymape
BPE: eae | Linguist: eae
BPE: ña | Linguist: ña
BPE: ita ni | Linguist: ita ni
BPE: ajte | Linguist: ajte
BPE: mi | Linguist: mi
BPE: ajte | Linguist: ajte
BPE: mi | Linguist: mi
BPE: kwini | Linguist: kwini
BPE: po | Linguist: po
BPE: oj | Linguist: oj
BPE: munaw | Linguist: munaw
BPE: e | Linguist: e
BPE: ña | Linguist: ña
BPE: muj | Linguist: muj
BPE: munaw | Linguist: munaw
BPE: ajte | Linguist: ajte
BPE: atiti | Linguist: atiti
BPE: tsuæ | Linguist: tsuæ
BPE: vavo | Linguist: vavo
BPE: po | Linguist: po
BPE: njũ | Linguist: njũ
BPE: tatsunu | Linguist: tatsunu
BPE: njũ | Linguist: njũ
BPE: njũ | Linguist: njũ
BPE: ña | Linguist: ña
BPE: muj | Linguist: muj
BPE: mi | Linguist: mi
BPE: mapi | Linguist: mapi
BPE: more | Linguist: more
BPE: aj | Linguist: aj
BPE: itevæ | Linguist: itevæ
BPE: oj | Linguist: oj
BPE: e | Linguist: e
BPE: aj | Linguist: aj
BPE: itevæ | Linguist: itevæ
BPE: pæ kuta | Linguist: pæ kuta
BPE: aj | Linguist: aj
BPE: ũko | Linguist: ũko
BPE: e | Linguist: e
BPE: aj | Linguist: aj
BPE: kani | Linguist: kani
BPE: aj | Linguist: aj
BPE: re | Linguist: re
BPE: pja | Linguist: pja
BPE: ara | Linguist: ara
BPE: uromu | Linguist: uromu
BPE: aj | Linguist: aj
BPE: kani | Linguist: kani
BPE: oj | Linguist: oj
BPE: kani | Linguist: kani
BPE: aj | Linguist: aj
BPE: kani | Linguist: kani
BPE: kani | Linguist: kani
BPE: mini | Linguist: mini
BPE: aj | Linguist: aj
BPE: mow mow | Linguist: mow mow
BPE: ara | Linguist: ara
BPE: mapi | Linguist: mapi
BPE: aj | Linguist: aj
BPE: ara | Linguist: ara
BPE: kani | Linguist: kani
BPE: oj | Linguist: oj
BPE: kani | Linguist: kani
BPE: ara kani | Linguist: ara kani
BPE: ojte | Linguist: ojte
BPE: ara | Linguist: ara
BPE: oj | Linguist: oj
BPE: oj | Linguist: oj
BPE: mapi | Linguist: mapi
BPE: nã | Linguist: nã
BPE: kani | Linguist: kani
BPE: tæræj | Linguist: tæræj
BPE: po | Linguist: po
BPE: aj | Linguist: aj
BPE: kwini | Linguist: kwini
BPE: aj | Linguist: aj
BPE: ævo | Linguist: ævo
BPE: mow kyĵ | Linguist: mow kyĵ
BPE: aj | Linguist: aj
BPE: e | Linguist: e
BPE: kuni | Linguist: kuni
BPE: aj | Linguist: aj
BPE: ævo | Linguist: ævo
BPE: nuti | Linguist: nuti
BPE: e | Linguist: e
BPE: nuti | Linguist: nuti
BPE: õ tsi mo | Linguist: õ tsi mo
BPE: nẽtoe | Linguist: nẽtoe
BPE: kani | Linguist: kani
BPE: nẽtoe | Linguist: nẽtoe
BPE: nake | Linguist: nake
BPE: nẽtoe | Linguist: nẽtoe
BPE: kani | Linguist: kani
BPE: mi | Linguist: mi
BPE: nẽtoe | Linguist: nẽtoe
BPE: mapi | Linguist: mapi
BPE: oj | Linguist: oj
BPE: nẽtoe | Linguist: nẽtoe
BPE: kwini | Linguist: kwini
BPE: po | Linguist: po
BPE: kamitsi | Linguist: kamitsi
BPE: aj | Linguist: aj
BPE: tsuæ | Linguist: tsuæ
BPE: kamitsi | Linguist: kamitsi
BPE: kamitsi | Linguist: kamitsi
BPE: ojo | Linguist: ojo
BPE: ævo | Linguist: ævo
BPE: e | Linguist: e
BPE: mini | Linguist: mini
BPE: ara | Linguist: ara
BPE: kamitsi | Linguist: kamitsi
BPE: mini | Linguist: mini
BPE: aj | Linguist: aj
BPE: mũ | Linguist: mũ
BPE: oti | Linguist: oti
BPE: kani | Linguist: kani
BPE: mini | Linguist: mini
BPE: aj | Linguist: aj
BPE: pejake | Linguist: pejake
BPE: mũ | Linguist: mũ
BPE: pejake | Linguist: pejake
BPE: ña | Linguist: ña
BPE: kani | Linguist: kani
BPE: ojo | Linguist: ojo
BPE: pejake | Linguist: pejake
BPE: mi | Linguist: mi
BPE: aj | Linguist: aj
BPE: aj | Linguist: aj
BPE: oke | Linguist: oke
BPE: kũkoe | Linguist: kũkoe
BPE: oke | Linguist: oke
BPE: oj | Linguist: oj
BPE: tũvo | Linguist: tũvo
BPE: oke | Linguist: oke
BPE: aj | Linguist: aj
BPE: oke | Linguist: oke
BPE: ava | Linguist: ava
BPE: mike | Linguist: mike
BPE: nã | Linguist: nã
BPE: kani | Linguist: kani
BPE: mike | Linguist: mike
BPE: tẽpũ kỹj | Linguist: tẽpũ kỹj
BPE: mike | Linguist: mike
BPE: neunu | Linguist: neunu
BPE: ara | Linguist: ara
BPE: nini | Linguist: nini
BPE: nini | Linguist: nini
BPE: mi | Linguist: mi
BPE: nini | Linguist: nini
BPE: tepy | Linguist: tepy
BPE: more | Linguist: more
BPE: tsi | Linguist: tsi
BPE: tepy | Linguist: tepy
BPE: jũ | Linguist: jũ
BPE: more | Linguist: more
BPE: jũ | Linguist: jũ
BPE: aj | Linguist: aj
BPE: kwini | Linguist: kwini
BPE: ja | Linguist: ja
BPE: more | Linguist: more
BPE: ara | Linguist: ara
BPE: oj | Linguist: oj
BPE: ũko | Linguist: ũko
BPE: more | Linguist: more
BPE: ara | Linguist: ara
BPE: o | Linguist: o
BPE: aj | Linguist: aj
BPE: kwini | Linguist: kwini
BPE: ja | Linguist: ja
BPE: ña | Linguist: ña
BPE: tyj | Linguist: tyj
BPE: jeko | Linguist: jeko
BPE: ña | Linguist: ña
BPE: papa | Linguist: papa
BPE: kwini | Linguist: kwini
BPE: jeko | Linguist: jeko
BPE: ña | Linguist: ña
BPE: tyj | Linguist: tyj
BPE: jeko | Linguist: jeko
BPE: aj | Linguist: aj
BPE: kwini | Linguist: kwini
BPE: jeko | Linguist: jeko
BPE: neunu | Linguist: neunu
BPE: aj | Linguist: aj
BPE: tsuæ | Linguist: tsuæ
BPE: mu | Linguist: mu
BPE: mini | Linguist: mini
BPE: neunu | Linguist: neunu
BPE: ara | Linguist: ara
BPE: mini | Linguist: mini
BPE: jũ | Linguist: jũ
BPE: opera | Linguist: opera
BPE: tũvo | Linguist: tũvo
BPE: ara | Linguist: ara
BPE: neunu | Linguist: neunu
BPE: pejake | Linguist: pejake
BPE: mi | Linguist: mi
BPE: aj | Linguist: aj
BPE: taj | Linguist: taj
BPE: itevæ | Linguist: itevæ
BPE: taj | Linguist: taj
BPE: tatsunu | Linguist: tatsunu
BPE: njũ | Linguist: njũ
BPE: oj | Linguist: oj
BPE: ara | Linguist: ara
BPE: ara | Linguist: ara
BPE: mi | Linguist: mi
BPE: maere | Linguist: maere
BPE: mo kỹj | Linguist: mo kỹj
BPE: mi | Linguist: mi
BPE: maere | Linguist: maere
BPE: pi ẽ to tsi | Linguist: pi ẽ to tsi
BPE: atsoni | Linguist: atsoni
BPE: ne | Linguist: ne
BPE: ne | Linguist: ne
BPE: ty | Linguist: ty
BPE: mi nu | Linguist: mi nu
BPE: ne | Linguist: ne
BPE: ne | Linguist: ne
BPE: ajte | Linguist: ajte
BPE: aj | Linguist: aj
BPE: ña | Linguist: ña
BPE: ñoña | Linguist: ñoña
BPE: aj | Linguist: aj
BPE: ipæ | Linguist: ipæ
BPE: iry | Linguist: iry
BPE: mapi n | Linguist: mapi n
BPE: ajte | Linguist: ajte
BPE: kani | Linguist: kani
BPE: tõ | Linguist: tõ
BPE: ojo | Linguist: ojo
BPE: ype | Linguist: ype
BPE: iva | Linguist: iva
BPE: ña | Linguist: ña
BPE: i | Linguist: i
BPE: tõ | Linguist: tõ
BPE: ojo | Linguist: ojo
BPE: kani | Linguist: kani
BPE: tu o | Linguist: tu o
BPE: aj | Linguist: aj
BPE: tsoke | Linguist: tsoke
BPE: nã | Linguist: nã
BPE: mũj | Linguist: mũj
BPE: kuni | Linguist: kuni
BPE: tsoke | Linguist: tsoke
BPE: aj | Linguist: aj
BPE: ja | Linguist: ja
BPE: aj | Linguist: aj
BPE: mapi | Linguist: mapi
BPE: mi | Linguist: mi
BPE: oj | Linguist: oj
BPE: mi | Linguist: mi
BPE: ña | Linguist: ña
BPE: pja | Linguist: pja
BPE: ña | Linguist: ña
BPE: pæ tsotsi | Linguist: pæ tsotsi
BPE: aj | Linguist: aj
BPE: ña | Linguist: ña
BPE: kani | Linguist: kani
BPE: aj | Linguist: aj
BPE: mi | Linguist: mi
BPE: aj | Linguist: aj
BPE: mi | Linguist: mi
BPE: mi | Linguist: mi
BPE: ũko | Linguist: ũko
BPE: itevæ | Linguist: itevæ
BPE: kani | Linguist: kani
BPE: æky | Linguist: æky
BPE: aj | Linguist: aj
BPE: toky | Linguist: toky
BPE: ajte | Linguist: ajte
BPE: toky | Linguist: toky
BPE: mi | Linguist: mi
BPE: toky | Linguist: toky
BPE: mite | Linguist: mite
BPE: toky | Linguist: toky
BPE: oj | Linguist: oj
BPE: toky | Linguist: toky
BPE: ojte | Linguist: ojte
BPE: toky | Linguist: toky
BPE: aj | Linguist: aj
BPE: ajte | Linguist: ajte
BPE: uko | Linguist: uko
BPE: itevæ | Linguist: itevæ
BPE: aj | Linguist: aj
BPE: aj | Linguist: aj
BPE: mi | Linguist: mi
BPE: tyj | Linguist: tyj
BPE: mi | Linguist: mi
BPE: aj | Linguist: aj
BPE: aj | Linguist: aj
BPE: mu | Linguist: mu
BPE: kwini | Linguist: kwini
BPE: ara | Linguist: ara
BPE: aj | Linguist: aj
BPE: na | Linguist: na
BPE: mapi | Linguist: mapi
BPE: aj | Linguist: aj
BPE: mi | Linguist: mi
BPE: ojte | Linguist: ojte
BPE: aj | Linguist: aj
BPE: aj | Linguist: aj
BPE: mi | Linguist: mi
BPE: oj | Linguist: oj
BPE: ajte | Linguist: ajte
BPE: mite | Linguist: mite
BPE: ojte | Linguist: ojte
BPE: aj | Linguist: aj
BPE: aj | Linguist: aj
BPE: aj | Linguist: aj
BPE: aj | Linguist: aj
BPE: aj | Linguist: aj
BPE: imujkaj | Linguist: imujkaj
BPE: mi | Linguist: mi
BPE: imujkaj | Linguist: imujkaj
BPE: oj | Linguist: oj
BPE: imujkaj | Linguist: imujkaj
BPE: ajte | Linguist: ajte
