BPE: uže | Linguist: uže
BPE: hos | Linguist: hos
BPE: goli | Linguist: goli
BPE: idu | Linguist: idu
BPE: užá | Linguist: užá
BPE: de | Linguist: de
BPE: žik’o | Linguist: žik’o
BPE: goli | Linguist: goli
BPE: ʎɨn | Linguist: ʎɨn
BPE: ise | Linguist: ise
BPE: užá | Linguist: užá
BPE: idu | Linguist: idu
BPE: žik’o | Linguist: žik’o
BPE: hos | Linguist: hos
BPE: ise | Linguist: ise
BPE: iłe | Linguist: iłe
BPE: idu | Linguist: idu
BPE: c’alid a | Linguist: c’alid a
BPE: de | Linguist: de
BPE: de | Linguist: de
BPE: žu | Linguist: žu
BPE: ø ah l un ay | Linguist: ø ah l un ay
BPE: hos | Linguist: hos
BPE: himon | Linguist: himon
BPE: žu | Linguist: žu
BPE: himon | Linguist: himon
BPE: do n | Linguist: do n
BPE: di lʲ in | Linguist: di lʲ in
BPE: os | Linguist: os
BPE: ono | Linguist: ono
BPE: goli | Linguist: goli
BPE: goli | Linguist: goli
BPE: uža ʎ’a | Linguist: uža ʎ’a
BPE: l eč un | Linguist: l eč un
BPE: iʎ o | Linguist: iʎ o
BPE: idu | Linguist: idu
BPE: himon | Linguist: himon
BPE: ʎɨn | Linguist: ʎɨn
BPE: žu | Linguist: žu
BPE: žu | Linguist: žu
BPE: himon | Linguist: himon
BPE: goli | Linguist: goli
BPE: ise | Linguist: ise
BPE: idu | Linguist: idu
BPE: goli | Linguist: goli
BPE: mo | Linguist: mo
BPE: goli | Linguist: goli
BPE: dilʲ | Linguist: dilʲ
BPE: žu | Linguist: žu
BPE: kad | Linguist: kad
BPE: y eq un | Linguist: y eq un
BPE: ʎɨn | Linguist: ʎɨn
BPE: žik’o | Linguist: žik’o
BPE: do | Linguist: do
BPE: goli | Linguist: goli
BPE: iłe lo | Linguist: iłe lo
BPE: uže | Linguist: uže
BPE: ʎun | Linguist: ʎun
BPE: žu | Linguist: žu
BPE: kad | Linguist: kad
BPE: ʎɨn | Linguist: ʎɨn
BPE: ono | Linguist: ono
BPE: kad | Linguist: kad
BPE: me | Linguist: me
BPE: is o | Linguist: is o
BPE: di qo | Linguist: di qo
BPE: goli | Linguist: goli
BPE: idu | Linguist: idu
BPE: žik’o | Linguist: žik’o
BPE: os | Linguist: os
BPE: goli | Linguist: goli
BPE: os | Linguist: os
BPE: goli | Linguist: goli
BPE: de | Linguist: de
BPE: ise | Linguist: ise
BPE: idu | Linguist: idu
BPE: l eq bi | Linguist: l eq bi
BPE: ʎɨn | Linguist: ʎɨn
BPE: idu | Linguist: idu
BPE: goli | Linguist: goli
BPE: ʎɨn | Linguist: ʎɨn
BPE: iłe s | Linguist: iłe s
BPE: ise | Linguist: ise
BPE: idu | Linguist: idu
BPE: uže | Linguist: uže
BPE: obu t’ ɣo ul | Linguist: obu t’ ɣo ul
BPE: idu | Linguist: idu
BPE: himon | Linguist: himon
BPE: do | Linguist: do
BPE: himon | Linguist: himon
BPE: goli | Linguist: goli
BPE: dilʲ | Linguist: dilʲ
BPE: iʎ o | Linguist: iʎ o
BPE: ʎɨn | Linguist: ʎɨn
BPE: uže | Linguist: uže
BPE: kad | Linguist: kad
BPE: goli | Linguist: goli
BPE: ono | Linguist: ono
BPE: hos | Linguist: hos
BPE: iʎ še | Linguist: iʎ še
BPE: dub lo | Linguist: dub lo
BPE: hos | Linguist: hos
BPE: iʎ o | Linguist: iʎ o
BPE: ʎɨn | Linguist: ʎɨn
BPE: žu | Linguist: žu
BPE: žu | Linguist: žu
BPE: žu | Linguist: žu
