BPE: lol i | Linguist: lol i
BPE: lol i | Linguist: lol i
BPE: uže | Linguist: uže
BPE: hos | Linguist: hos
BPE: goli | Linguist: goli
BPE: idu | Linguist: idu
BPE: ɣine | Linguist: ɣine
BPE: užá | Linguist: užá
BPE: de | Linguist: de
BPE: hobože | Linguist: hobože
BPE: xan i | Linguist: xan i
BPE: heč’č’e | Linguist: heč’č’e
BPE: gollu | Linguist: gollu
BPE: žik’o | Linguist: žik’o
BPE: hibo k | Linguist: hibo k
BPE: goli | Linguist: goli
BPE: ʎɨn | Linguist: ʎɨn
BPE: ise | Linguist: ise
BPE: užá | Linguist: užá
BPE: idu | Linguist: idu
BPE: žik’o | Linguist: žik’o
BPE: hada | Linguist: hada
BPE: hos | Linguist: hos
BPE: heč’č’e | Linguist: heč’č’e
BPE: ɨs | Linguist: ɨs
BPE: ise | Linguist: ise
BPE: iłe | Linguist: iłe
BPE: idu | Linguist: idu
BPE: c’alid a | Linguist: c’alid a
BPE: hada | Linguist: hada
BPE: de | Linguist: de
BPE: hada | Linguist: hada
BPE: de | Linguist: de
BPE: žu | Linguist: žu
BPE: hos | Linguist: hos
BPE: himon | Linguist: himon
BPE: žu | Linguist: žu
BPE: himon | Linguist: himon
BPE: do n | Linguist: do n
BPE: di lʲ in | Linguist: di lʲ in
BPE: os | Linguist: os
BPE: ono | Linguist: ono
BPE: goli | Linguist: goli
BPE: ʎ’olo | Linguist: ʎ’olo
BPE: goli | Linguist: goli
BPE: uža ʎ’a | Linguist: uža ʎ’a
BPE: iʎ o | Linguist: iʎ o
BPE: idu | Linguist: idu
BPE: himon | Linguist: himon
BPE: ʎɨn | Linguist: ʎɨn
BPE: žu | Linguist: žu
BPE: ɣine | Linguist: ɣine
BPE: c’aq’ | Linguist: c’aq’
BPE: žu | Linguist: žu
BPE: himon | Linguist: himon
BPE: goli | Linguist: goli
BPE: iso | Linguist: iso
BPE: ɣiná | Linguist: ɣiná
BPE: gul un | Linguist: gul un
BPE: hobołe | Linguist: hobołe
BPE: ɣono ʎ | Linguist: ɣono ʎ
BPE: ise | Linguist: ise
BPE: xan la | Linguist: xan la
BPE: idu | Linguist: idu
BPE: obu | Linguist: obu
BPE: nartaw i | Linguist: nartaw i
BPE: goli | Linguist: goli
BPE: mo | Linguist: mo
BPE: goli | Linguist: goli
BPE: dilʲ | Linguist: dilʲ
BPE: žu | Linguist: žu
BPE: kad | Linguist: kad
BPE: kul un | Linguist: kul un
BPE: ʎɨn | Linguist: ʎɨn
BPE: žik’o | Linguist: žik’o
BPE: do | Linguist: do
BPE: goli | Linguist: goli
BPE: iłes | Linguist: iłes
BPE: iłe lo | Linguist: iłe lo
BPE: gollu | Linguist: gollu
BPE: uže | Linguist: uže
BPE: ʎun | Linguist: ʎun
BPE: žu | Linguist: žu
BPE: kad | Linguist: kad
BPE: ʎɨn | Linguist: ʎɨn
BPE: ono | Linguist: ono
BPE: hobołe | Linguist: hobołe
BPE: kad | Linguist: kad
BPE: hada | Linguist: hada
BPE: me | Linguist: me
BPE: heč’č’e | Linguist: heč’č’e
BPE: liʎ | Linguist: liʎ
BPE: goli | Linguist: goli
BPE: c’aq’ | Linguist: c’aq’
BPE: idu | Linguist: idu
BPE: žik’o | Linguist: žik’o
BPE: os | Linguist: os
BPE: goli | Linguist: goli
BPE: os | Linguist: os
BPE: goli | Linguist: goli
BPE: hed | Linguist: hed
BPE: užaqa | Linguist: užaqa
BPE: hobože | Linguist: hobože
BPE: hibo q’e | Linguist: hibo q’e
BPE: de | Linguist: de
BPE: ise | Linguist: ise
BPE: gobi | Linguist: gobi
BPE: diqo | Linguist: diqo
BPE: idu | Linguist: idu
BPE: diqo | Linguist: diqo
BPE: ʎɨn | Linguist: ʎɨn
BPE: idu | Linguist: idu
BPE: goli | Linguist: goli
BPE: ʎɨn | Linguist: ʎɨn
BPE: ise | Linguist: ise
BPE: idu | Linguist: idu
BPE: uže | Linguist: uže
BPE: hobože | Linguist: hobože
BPE: isul | Linguist: isul
BPE: idu | Linguist: idu
BPE: himon | Linguist: himon
BPE: do | Linguist: do
BPE: himon | Linguist: himon
BPE: goli | Linguist: goli
BPE: dilʲ | Linguist: dilʲ
BPE: iʎ o | Linguist: iʎ o
BPE: ʎɨn | Linguist: ʎɨn
BPE: uže | Linguist: uže
BPE: kad | Linguist: kad
BPE: goli | Linguist: goli
BPE: ono | Linguist: ono
BPE: hos | Linguist: hos
BPE: iso | Linguist: iso
BPE: iʎ še | Linguist: iʎ še
BPE: dub lo | Linguist: dub lo
BPE: hos | Linguist: hos
BPE: iʎ o | Linguist: iʎ o
BPE: ʎɨn | Linguist: ʎɨn
BPE: guc’ un | Linguist: guc’ un
BPE: žu | Linguist: žu
BPE: ílʲo | Linguist: ílʲo
BPE: iłe ł q’a | Linguist: iłe ł q’a
BPE: žu | Linguist: žu
BPE: ílʲo | Linguist: ílʲo
BPE: žu | Linguist: žu
BPE: q’ala | Linguist: q’ala
BPE: žik’o | Linguist: žik’o
BPE: dilʲ | Linguist: dilʲ
BPE: mok’o | Linguist: mok’o
BPE: dilʲ | Linguist: dilʲ
BPE: mok’o | Linguist: mok’o
BPE: dilʲ | Linguist: dilʲ
BPE: diyo | Linguist: diyo
BPE: uže | Linguist: uže
BPE: goli | Linguist: goli
BPE: obu | Linguist: obu
BPE: kad | Linguist: kad
BPE: zihe | Linguist: zihe
BPE: žu | Linguist: žu
BPE: gobi | Linguist: gobi
BPE: žu | Linguist: žu
BPE: goli | Linguist: goli
BPE: žu | Linguist: žu
BPE: žik’o | Linguist: žik’o
BPE: goli | Linguist: goli
BPE: idu | Linguist: idu
BPE: soyro | Linguist: soyro
BPE: goli | Linguist: goli
BPE: hibo | Linguist: hibo
BPE: ʎɨn | Linguist: ʎɨn
BPE: žu | Linguist: žu
BPE: goli | Linguist: goli
BPE: žu | Linguist: žu
BPE: goli | Linguist: goli
BPE: žu | Linguist: žu
BPE: heč’č’e | Linguist: heč’č’e
BPE: goli | Linguist: goli
BPE: ise | Linguist: ise
BPE: de | Linguist: de
BPE: heⁿše | Linguist: heⁿše
BPE: užá | Linguist: užá
BPE: žu | Linguist: žu
BPE: himon | Linguist: himon
BPE: mo | Linguist: mo
BPE: nartaw i | Linguist: nartaw i
BPE: mok’o ʎ’o | Linguist: mok’o ʎ’o
BPE: dilʲ | Linguist: dilʲ
BPE: hos | Linguist: hos
BPE: do | Linguist: do
BPE: goli | Linguist: goli
BPE: ise | Linguist: ise
BPE: do | Linguist: do
BPE: ʎɨn | Linguist: ʎɨn
BPE: hed | Linguist: hed
BPE: ono | Linguist: ono
BPE: gollu | Linguist: gollu
BPE: eⁿdu ɣul | Linguist: eⁿdu ɣul
BPE: hed | Linguist: hed
BPE: lol bo | Linguist: lol bo
BPE: žu | Linguist: žu
BPE: gul aʎa | Linguist: gul aʎa
BPE: žu | Linguist: žu
BPE: dubul | Linguist: dubul
BPE: soyro | Linguist: soyro
BPE: goli | Linguist: goli
BPE: ʎun | Linguist: ʎun
BPE: užá | Linguist: užá
BPE: hed | Linguist: hed
BPE: soyro | Linguist: soyro
BPE: goli | Linguist: goli
BPE: ide ul | Linguist: ide ul
BPE: idu | Linguist: idu
BPE: soyro | Linguist: soyro
BPE: idu | Linguist: idu
BPE: ise | Linguist: ise
BPE: ono | Linguist: ono
BPE: de | Linguist: de
BPE: mo | Linguist: mo
BPE: hobože | Linguist: hobože
BPE: iłe | Linguist: iłe
BPE: ise | Linguist: ise
BPE: kad | Linguist: kad
BPE: de | Linguist: de
BPE: uže | Linguist: uže
BPE: guc’ un | Linguist: guc’ un
BPE: idu | Linguist: idu
