BPE: kartoška | Linguist: kartoška
BPE: lol i | Linguist: lol i
BPE: lol i | Linguist: lol i
BPE: zor | Linguist: zor
BPE: uže | Linguist: uže
BPE: hos | Linguist: hos
BPE: goli | Linguist: goli
BPE: idu | Linguist: idu
BPE: ɣine | Linguist: ɣine
BPE: užá | Linguist: užá
BPE: de | Linguist: de
BPE: hobože | Linguist: hobože
BPE: xan i | Linguist: xan i
BPE: heč’č’e | Linguist: heč’č’e
BPE: gollu | Linguist: gollu
BPE: žik’o | Linguist: žik’o
BPE: hibo k | Linguist: hibo k
BPE: goli | Linguist: goli
BPE: ʎɨn | Linguist: ʎɨn
BPE: ise | Linguist: ise
BPE: užá | Linguist: užá
BPE: idu | Linguist: idu
BPE: žik’o | Linguist: žik’o
BPE: hada | Linguist: hada
BPE: hos | Linguist: hos
BPE: heč’č’e | Linguist: heč’č’e
BPE: ɨs | Linguist: ɨs
BPE: ise | Linguist: ise
BPE: iłe | Linguist: iłe
BPE: idu | Linguist: idu
BPE: hada | Linguist: hada
BPE: de | Linguist: de
BPE: hada | Linguist: hada
BPE: de | Linguist: de
BPE: žu | Linguist: žu
BPE: dilʲlʲo | Linguist: dilʲlʲo
BPE: hos | Linguist: hos
BPE: himon | Linguist: himon
BPE: žu | Linguist: žu
BPE: himon | Linguist: himon
BPE: dub ʎeru | Linguist: dub ʎeru
BPE: do n | Linguist: do n
BPE: dub ʎeru | Linguist: dub ʎeru
BPE: di lʲ in | Linguist: di lʲ in
BPE: os | Linguist: os
BPE: ono | Linguist: ono
BPE: goli | Linguist: goli
BPE: ʎ’olo | Linguist: ʎ’olo
BPE: goli | Linguist: goli
BPE: uža ʎ’a | Linguist: uža ʎ’a
BPE: uⁿq’e la ʎ’a | Linguist: uⁿq’e la ʎ’a
BPE: idu | Linguist: idu
BPE: himon | Linguist: himon
BPE: ʎɨn | Linguist: ʎɨn
BPE: žu | Linguist: žu
BPE: ɣine | Linguist: ɣine
BPE: c’aq’ | Linguist: c’aq’
BPE: žu | Linguist: žu
BPE: himon | Linguist: himon
BPE: goli | Linguist: goli
BPE: iso | Linguist: iso
BPE: ʎar la | Linguist: ʎar la
BPE: ɣiná | Linguist: ɣiná
BPE: hobołe | Linguist: hobołe
BPE: ɣono ʎ | Linguist: ɣono ʎ
BPE: ise | Linguist: ise
BPE: xan la | Linguist: xan la
BPE: soyro ʎ | Linguist: soyro ʎ
BPE: idu | Linguist: idu
BPE: obu | Linguist: obu
BPE: goli | Linguist: goli
BPE: mo | Linguist: mo
BPE: goli | Linguist: goli
BPE: dilʲ | Linguist: dilʲ
BPE: žu | Linguist: žu
BPE: kad | Linguist: kad
BPE: ze | Linguist: ze
BPE: ʎɨn | Linguist: ʎɨn
BPE: eⁿš | Linguist: eⁿš
BPE: ilʲó | Linguist: ilʲó
BPE: žik’o | Linguist: žik’o
BPE: hobot’un | Linguist: hobot’un
BPE: homonu | Linguist: homonu
BPE: do | Linguist: do
BPE: goli | Linguist: goli
BPE: iłes | Linguist: iłes
BPE: aq | Linguist: aq
BPE: gollu | Linguist: gollu
BPE: čačan za | Linguist: čačan za
BPE: čačan za | Linguist: čačan za
BPE: uže | Linguist: uže
BPE: ʎun | Linguist: ʎun
BPE: žu | Linguist: žu
BPE: kad | Linguist: kad
BPE: ʎɨn | Linguist: ʎɨn
BPE: ono | Linguist: ono
BPE: hobołe | Linguist: hobołe
